"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AVB","AvalonBay Communities, Inc.","200.68","27831671639.64","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/avb",
"MPV","Barings Participation Investors","15.37","161798437.63","n/a","1988","Consumer Services","Miscellaneous","https://www.nasdaq.com/symbol/mpv",
"BNED","Barnes & Noble Education, Inc","4.4","200467920.4","n/a","2015","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/bned",
"BKS","Barnes & Noble, Inc.","5.5","402574865","n/a","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/bks",
"BEL","Belmond Ltd.","24.92","2568794767.84","n/a","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/bel",
"BBY","Best Buy Co., Inc.","72.09","19306018330.92","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains","https://www.nasdaq.com/symbol/bby",
"BIG","Big Lots, Inc.","38.61","1546275712.41","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/big",
"BH","Biglari Holdings Inc.","138.72","286834950.72","n/a","2018","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/bh",
"BJ","BJ&#39;s Wholesale Club Holdings, Inc.","27.59","3802752930.78","n/a","2018","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/bj",
"APRN","Blue Apron Holdings, Inc.","0.9855","191697889.113","n/a","2017","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/aprn",
"BCC","Boise Cascade, L.L.C.","26.75","1042563461.25","n/a","2013","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/bcc",
"BOOT","Boot Barn Holdings, Inc.","30.19","855252600.57","n/a","2014","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/boot",
"BAH","Booz Allen Hamilton Holding Corporation","58.73","8226998534.65","n/a","2010","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/bah",
"BXP","Boston Properties, Inc.","135.46","20929818399.36","n/a","1997","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/bxp",
"BYD","Boyd Gaming Corporation","28.34","3145115471.42","n/a","1993","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/byd",
"BHR","Braemar Hotels & Resorts Inc.","12.46","409461093.16","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/bhr",
"BDN","Brandywine Realty Trust","16.07","2825316468.79","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/bdn",
"BPI","Bridgepoint Education, Inc.","6.12","166308962.04","n/a","2009","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/bpi",
"BEDU","Bright Scholar Education Holdings Limited","10.4","1288806230.4","n/a","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/bedu",
"EAT","Brinker International, Inc.","44.94","1685250000","n/a","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/eat",
"BRX","Brixmor Property Group Inc.","18.32","5471030444.56","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/brx",
"BAM","Brookfield Asset Management Inc","47.31","47021667691.08","n/a","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/bam",
"BIP","Brookfield Infrastructure Partners LP","41.35","11560377250.25","n/a","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/bip",
"BRT","BRT Apartments Corp.","13.97","222128518.15","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/brt",
"BKE","Buckle, Inc. (The)","19.13","937702766.35","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/bke",
"BBW","Build-A-Bear Workshop, Inc.","6.15","91980777.6","n/a","2004","Consumer Services","Recreational Products/Toys","https://www.nasdaq.com/symbol/bbw",
