"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"HRTG","Heritage Insurance Holdings, Inc.","14.7","446303142.6","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hrtg",
"HTH","Hilltop Holdings Inc.","18.63","1743984555.12","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hth",
"HMN","Horace Mann Educators Corporation","35.8","1467304563.8","n/a","1991","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hmn",
"HLI","Houlihan Lokey, Inc.","46.72","3056078353.92","n/a","2015","Finance","Investment Managers","https://www.nasdaq.com/symbol/hli",
"HSBC","HSBC Holdings plc","41.76","167468148951.84","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hsbc",
"HPP","Hudson Pacific Properties, Inc.","34.34","5299267173.82","n/a","2010","Finance","Real Estate","https://www.nasdaq.com/symbol/hpp",
"IBN","ICICI Bank Limited","11.46","36936643304.64","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ibn",
"IHC","Independence Holding Company","34.59","517091063.91","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/ihc",
"ING","ING Group, N.V.","12.5","48639771662.5","n/a","1997","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ing",
"ISF","ING Group, N.V.","25.85","0","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/isf",
"ISG","ING Group, N.V.","25.66","0","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/isg",
"IIPR","Innovative Industrial Properties, Inc.","79.94","783907148.36","n/a","2016","Finance","Real Estate","https://www.nasdaq.com/symbol/iipr",
"ICE","Intercontinental Exchange Inc.","77","43560666996","n/a","2005","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ice",
"IVZ","Invesco Plc","19.97","8023680718.52","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ivz",
"INVH","Invitation Homes Inc.","24.33","12680554914.03","n/a","2017","Finance","Real Estate","https://www.nasdaq.com/symbol/invh",
"ITCB","Ita? CorpBanca","13.6","4645821281.6","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/itcb",
"ITUB","Itau Unibanco Banco Holding SA","8.82","85746899291.76","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/itub",
"JPM","J P Morgan Chase & Co","104.64","342616654208.64","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm",
"JPM^A","J P Morgan Chase & Co","25.6","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm^a",
"JPM^H","J P Morgan Chase & Co","26.34","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm^h",
"JHG","Janus Henderson Group plc","25.37","4982991822.68","n/a","2017","Finance","Investment Managers","https://www.nasdaq.com/symbol/jhg",
"JEF","Jefferies Financial Group Inc.","19.27","5825152618.74","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jef",
"JMP","JMP Group LLC","3.82","81209315.06","n/a","2007","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmp",
"JMPB","JMP Group LLC","25.4366","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmpb",
"JMPD","JMP Group LLC","25.1","0","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmpd",
"JLL","Jones Lang LaSalle Incorporated","155.56","7096903407.32","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/jll",
"KB","KB Financial Group Inc","39.08","15458144686.76","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/kb",
"KMPA","Kemper Corporation","25.4","0","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kmpa",
"KMPR","Kemper Corporation","77.76","5049231837.12","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kmpr",
"KW","Kennedy-Wilson Holdings Inc.","21.5","3074079761","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/kw",
"KEY","KeyCorp","16.35","16493679892.35","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/key",
"KFS","Kingsway Financial Services, Inc.","3.04","66234693.12","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kfs",
"KKR","KKR & Co. Inc.","24.13","20089870376.44","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/kkr",
"LAZ","Lazard Ltd.","37.26","4261258455.48","n/a","2005","Finance","Investment Managers","https://www.nasdaq.com/symbol/laz",
"LGC","Legacy Acquisition Corp.","10.039","301170000","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lgc",
"LM","Legg Mason, Inc.","28.07","2401109708.76","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/lm",
"LMHA","Legg Mason, Inc.","26.21","0","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/lmha",
"LMHB","Legg Mason, Inc.","24.27","0","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/lmhb",
