"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"LXFR","Luxfer Holdings PLC","25.47","687702684.06","n/a","2012","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lxfr",
"LYB","LyondellBasell Industries NV","87.17","32353755515.66","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lyb",
"MLM","Martin Marietta Materials, Inc.","204","12735831792","n/a","1994","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/mlm",
"MAS","Masco Corporation","39.31","11568699223.43","n/a","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/mas",
"DOOR","Masonite International Corporation","50.89","1300763056.32","n/a","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/door",
"MTZ","MasTec, Inc.","48.68","3701032330.4","n/a","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/mtz",
"MUX","McEwen Mining Inc.","1.43","513546277.53","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/mux",
"MDU","MDU Resources Group, Inc.","26","5110688726","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/mdu",
"MTL","Mechel PAO","2.06","514510640.82","n/a","2004","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/mtl",
"MSB","Mesabi Trust","29.69","389533096.9","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/msb",
"MTX","Minerals Technologies Inc.","60","2113819080","n/a","1992","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/mtx",
"MOS","Mosaic Company (The)","27.84","10731498692.16","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/mos",
"NP","Neenah, Inc.","66.28","1117480800","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/np",
"NEU","NewMarket Corporation","429.7","4807537742.2","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/neu",
"NEM","Newmont Mining Corporation","35.61","19038292133.49","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/nem",
"NEXA","Nexa Resources S.A.","12.46","1657758019.4","n/a","2017","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/nexa",
"NL","NL Industries, Inc.","3.85","187600813.4","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/nl",
"OSB","Norbord Inc.","26.72","2182184537.76","n/a","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/osb",
"NUE","Nucor Corporation","59.71","18198540743.46","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/nue",
"NTR","Nutrien Ltd.","53.39","32235344955.29","n/a","2018","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/ntr",
"OLN","Olin Corporation","23.64","3897963123.48","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/oln",
"OMN","OMNOVA Solutions Inc.","7.25","325124937.75","n/a","n/a","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/omn",
"OEC","Orion Engineered Carbons S.A","19.72","1173704780.56","n/a","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/oec",
"ORN","Orion Group Holdings, Inc.","2.97","85831253.64","n/a","n/a","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/orn",
"OR","Osisko Gold Royalties Ltd","11.13","1724185529.85","n/a","2016","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/or",
"POL","PolyOne Corporation","29.75","2315002021.5","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/pol",
"PKX","POSCO","59","18907291276","n/a","1994","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/pkx",
"PPG","PPG Industries, Inc.","114.22","26967536859.32","n/a","n/a","Basic Industries","Paints/Coatings","https://www.nasdaq.com/symbol/ppg",
"PQG","PQ Group Holdings Inc.","15.35","2083421883.5","n/a","2017","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/pqg",
"PVG","Pretium Resources, Inc.","8.27","1523235512.57","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/pvg",
"PG","Procter & Gamble Company (The)","103.64","259263721040.76","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/pg",
"KWR","Quaker Chemical Corporation","204.15","2721905614.65","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kwr",
"RYAM","Rayonier Advanced Materials Inc.","14.07","700668088.89","n/a","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ryam",
"RS","Reliance Steel & Aluminum Co.","92.08","6176554578.72","n/a","1994","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/rs",
"RFP","Resolute Forest Products Inc.","8.09","737879289.08","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/rfp",
"REX","REX American Resources Corporation","81.79","513184730.01","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/rex",
"RIO","Rio Tinto Plc","59.85","101641215910.5","n/a","2002","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/rio",
"ROG","Rogers Corporation","163.92","3038041973.04","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/rog",
"RPM","RPM International Inc.","58.88","7751238817.28","n/a","n/a","Basic Industries","Paints/Coatings","https://www.nasdaq.com/symbol/rpm",
"RYI","Ryerson Holding Corporation","8.82","330256124.1","n/a","2014","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/ryi",
"SWM","Schweitzer-Mauduit International, Inc.","39.24","1212397455.96","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/swm",
"SMG","Scotts Miracle-Gro Company (The)","79.68","4410343696.32","n/a","1992","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/smg",
"SA","Seabridge Gold, Inc.","11.41","703461266.27","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/sa",
"SEE","Sealed Air Corporation","46.07","7169995724.8","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/see",
"SXT","Sensient Technologies Corporation","68.61","2901684994.5","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/sxt",
"SBGL","Sibanye Gold Limited","4.21","2384838001.14","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/sbgl",
"SHI","SINOPEC Shangai Petrochemical Company, Ltd.","48.61","5261455742.35","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/shi",
"SKY","Skyline Champion Corporation","19.33","1096267973.02","n/a","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/sky",
"SQM","Sociedad Quimica y Minera S.A.","38.74","10196233339.76","n/a","1993","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/sqm",
"SCCO","Southern Copper Corporation","40.24","31107309432.56","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/scco",
"SCL","Stepan Company","88.22","1995018107.5","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/scl",
"SUM","Summit Materials, Inc.","15.94","1780050659.84","n/a","2015","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/sum",
"SXCP","SunCoke Energy Partners, L.P.","12.78","590782951.44","n/a","2013","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sxcp",
"SXC","SunCoke Energy, Inc.","8.73","568277507.97","n/a","2011","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sxc",
